pattern: productSuccessClaimed\s*:=\s*false|productSuccessClaimed\s*=\s*false
total_matches	1526
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationDataTargetNoUnivDataClosedEmbeddingClosednessDataNormalizedSourceTriangulationDataEndpointKernelCokernelTopAndUnitKernelCokernelTopIsoComponentFieldsRoute.lean:319:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataFromEndpointLocalizedUnitToLocalizedUnitChoiceDirectRouteW1165.lean:362:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/TargetIsoStrictRealizationTerminalProductRoute.lean:227:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/W987TargetSurjectiveCompactFieldsComparisonGuardW1509.lean:229:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataFromUnitStrictExactIsoDataToComponentFieldsDirectRoute.lean:193:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/Bounded.lean:4145:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/Bounded.lean:4154:    Dbounded.currentMetrizableSemanticStableRouteState.productSuccessClaimed = false :=
LeanLCAExactChallenge/Derived/Bounded.lean:4607:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/Bounded.lean:4794:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/Bounded.lean:5015:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/Bounded.lean:5198:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/Bounded.lean:5313:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataFromNormalizedSourceEndpointLocalizedUnitToEndpointLocalizedUnitDirectRouteW1238.lean:405:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataSplitCompactTargetEndpointsFieldSplitGuardW1352.lean:154:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataClosedMapPrimitiveBridgeStableConvergenceFieldSplitGuardW1396.lean:147:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapTargetCompactOuterNonbottomPrimitiveFieldRoute.lean:452:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataW987BoundaryRelationTargetLocalizedAdjunctionNatTransFieldDataConstructionGuardW1465.lean:577:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataFromTargetClosedEmbeddingClosednessToNormalizedSourceEndpointLocalizedUnitDirectRoute.lean:236:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataTargetSurjectiveCompactKernelCokernelTopIsoComponentFieldsGuardW1320.lean:86:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataW987BoundaryRelationTargetUnitKernelCokernelTopFieldDataConstructionGuardW1462.lean:522:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/IsoClosureHomologyDetectionTerminalProductRoute.lean:259:  productSuccessClaimed := false
audit/OriginalFourTaskCompletionDeclarations.lean:1731:    Dbounded.currentMetrizableSemanticStableRouteState.productSuccessClaimed = false :=
LeanLCAExactChallenge/Derived/W987MappedCokernelEmbeddingFieldDataConstructionGuardW1482.lean:2205:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataW987BoundaryRelationTargetNormalizedLiftBlueprintFieldDataConstructionGuardW1472.lean:726:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ComparisonBijectiveEmbeddingRoute.lean:101:  productSuccessClaimed := false
audit/blockers/addcommgrp_w433_mapped_cocone_closed_range_bridge_v370_support_w442.lean:225:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/TargetHomologyZeroFiniteShapeStableRoute.lean:279:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataTargetCompactTargetProviderGuardW1325.lean:88:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationDataTargetNoUnivClosednessNormalizedSourceTriangulationEndpointLocalizedUnitDataPrimitiveFieldRoute.lean:180:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataFromTargetClosedEmbeddingClosednessRoute.lean:295:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataFromEndpointLocalizedUnitToLocalizedUnitChoiceDirectRouteW1174.lean:362:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataW987BoundaryRelationTargetStrictPreimageObjectImageRightAdjointFunctorFieldDataConstructionGuardW1479.lean:1929:  productSuccessClaimed := false
audit/blockers/wpp_op_left_lca_closedmap_field_consumer_v366_support_w342.lean:293:  productSuccessClaimed := false
audit/blockers/wpp_op_left_lca_closedmap_field_consumer_v366_support_w342.lean:296:    currentWppOpLeftLcaClosedMapFieldConsumerState.productSuccessClaimed = false := rfl
LeanLCAExactChallenge/Derived/ExactInputsComparisonSelectedCochainStableRoute.lean:129:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/IsoClosureDirectSourceStableExactAtRoute.lean:117:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataClosedMapClosednessBranchPrimitiveStableConvergenceFieldSplitGuardW1402.lean:90:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/SourceTriangulationComparisonStableExactAtRoute.lean:146:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/TargetHomologyZeroW664RouteConsistencyProductRoute.lean:204:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataSelectedCochainStrictificationStableConvergenceFieldSplitGuardW1371.lean:114:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/W987ClosedEmbeddingEndpointHomologyFreeLocalizedRightAdjointConvergenceGuardW1515.lean:642:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataFromNormalizedSourceEndpointLocalizedUnitToEndpointLocalizedUnitDirectRouteW1229.lean:405:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataFromEndpointLocalizedUnitToLocalizedUnitChoiceDirectRouteW1093.lean:360:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataFromEndpointLocalizedUnitToLocalizedUnitChoiceDirectRouteW1192.lean:362:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataClosedMapTargetComponentRelationFieldsStableConvergenceFieldSplitGuardW1384.lean:337:  productSuccessClaimed := false
audit/blockers/algebraic_exact_wpp_op_colimit_w287.lean:130:  productSuccessClaimed := false
audit/blockers/algebraic_exact_wpp_op_colimit_w287.lean:133:    currentAlgebraicExactWppOpColimitState.productSuccessClaimed = false := rfl
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataFromTargetClosedEmbeddingClosednessToNormalizedSourceEndpointLocalizedUnitDirectRouteW1167.lean:415:  productSuccessClaimed := false
audit/blockers/wpp_op_w426_w318_ordinary_equals_canonical_v370_support_w444.lean:169:  productSuccessClaimed := false
audit/blockers/wpp_op_w426_w318_ordinary_equals_canonical_v370_support_w444.lean:172:    currentWppOpW426W318OrdinaryEqualsCanonicalV370StateW444.productSuccessClaimed = false := rfl
audit/blockers/whiskering_right_fixed_target_up_w227.lean:197:  productSuccessClaimed := false
audit/blockers/whiskering_right_fixed_target_up_w227.lean:203:    currentState.productSuccessClaimed = false := rfl
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataFromUnitStrictExactIsoDataToComponentFieldsDirectRouteW1091.lean:342:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryDataSourceTriangulationEndpointFactsLocalizedRightAdjointComparisonStableExactAtRoute.lean:329:  productSuccessClaimed := false
audit/blockers/wpp_op_w426_w387_w390_conjugated_leg_inputs_v370_support_w447.lean:170:  productSuccessClaimed := false
audit/blockers/wpp_op_w426_w387_w390_conjugated_leg_inputs_v370_support_w447.lean:173:    currentWppOpW426W387W390ConjugatedLegInputsV370StateW447.productSuccessClaimed = false := rfl
LeanLCAExactChallenge/Derived/SelectedCochainConcreteLeavesStableExactAtRoute.lean:141:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataFromTargetClosedEmbeddingClosednessNormalizedSourceEndpointToTargetClosedEmbeddingClosednessDirectRoute.lean:240:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataTargetCompactFullDataGuardW1324.lean:79:  productSuccessClaimed := false
audit/blockers/addcommgrp_mapped_explicit_cokernel_closed_range_v370_support_parent.lean:187:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapMappedCokernelPrimitiveFieldsRoute.lean:448:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataFromNormalizedSourceEndpointLocalizedUnitToEndpointLocalizedUnitDirectRouteW1184.lean:405:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapBoundaryRelationTargetSurjectiveCompactClosedEmbeddingClosednessNormalizedSourceEndpointLocalizedUnitFullDataFromBranchFullDataToTargetClosedEmbeddingClosednessNormalizedSourceEndpointDirectRouteW1169.lean:344:  productSuccessClaimed := false
LeanLCAExactChallenge/Derived/ClosedMapTargetCompactNoUnivMembershipClosednessDataBoundaryRelationDataNormalizedFixedTargetDataSourceTriangulationEndpointStrictExactUnitStrictExactComponentsPrimitiveFieldRoute.lean:219:  productSuccessClaimed := false
